id,date
08928595,20150106
08928597,20150106
08928599,20150106
08928600,20150106
08928605,20150106
08928611,20150106
08928613,20150106
08933893,20150113
08933894,20150113
08933896,20150113
08933900,20150113
08933902,20150113
08937600,20150120
08937603,20150120
08941595,20150127
08941596,20150127
08941598,20150127
08941599,20150127
08941604,20150127
08941608,20150127
08941612,20150127
08947365,20150203
08947369,20150203
08947371,20150203
08947373,20150203
08947375,20150203
08947381,20150203
08952899,20150210
08952902,20150210
08952908,20150210
08952910,20150210
08952913,20150210
08952918,20150210
08957865,20150217
08957866,20150217
08957868,20150217
08957870,20150217
08957872,20150217
08963847,20150224
08963856,20150224
08963857,20150224
08963858,20150224
08963866,20150224
08963867,20150224
08963871,20150224
08963872,20150224
08970504,20150303
08970505,20150303
08970506,20150303
08970508,20150303
08970510,20150303
08970511,20150303
08970512,20150303
08970513,20150303
08970515,20150303
08970518,20150303
08970520,20150303
08970525,20150303
08970527,20150303
08970528,20150303
08970529,20150303
08970538,20150303
08976123,20150310
08976124,20150310
08976125,20150310
08976128,20150310
08976129,20150310
08976135,20150310
08976140,20150310
08976141,20150310
08982059,20150317
08982062,20150317
08982065,20150317
08982069,20150317
08982072,20150317
08982075,20150317
08982078,20150317
08982079,20150317
08982080,20150317
08982083,20150317
08982084,20150317
08624856,20140107
08624860,20140107
08624862,20140107
08629840,20140114
08629844,20140114
08629848,20140114
08629849,20140114
08633901,20140121
08633902,20140121
08633906,20140121
08633912,20140121
08638300,20140128
08638301,20140128
08638304,20140128
08638306,20140128
08638307,20140128
08638310,20140128
08638311,20140128
08902172,20141202
08902175,20141202
08902176,20141202
08902177,20141202
08902181,20141202
08902185,20141202
08902186,20141202
08907902,20141209
08907909,20141209
08907910,20141209
08907912,20141209
08907913,20141209
08913019,20141216
08913021,20141216
08913022,20141216
08913023,20141216
08913024,20141216
08917249,20141223
08917250,20141223
08922494,20141230
08922500,20141230
08922501,20141230
08922504,20141230
08922507,20141230
08922517,20141230
08878800,20141104
08878801,20141104
08878803,20141104
08878804,20141104
08878805,20141104
08878809,20141104
08884884,20141111
08884888,20141111
08884898,20141111
08884906,20141111
08890817,20141118
08890818,20141118
08890819,20141118
08890827,20141118
08890828,20141118
08890829,20141118
08896548,20141125
08896554,20141125
08896557,20141125
08896560,20141125
08896563,20141125
08823653,20140902
08823654,20140902
08823657,20140902
08823662,20140902
08823669,20140902
08830179,20140909
08830180,20140909
08830182,20140909
08830183,20140909
08830184,20140909
08830186,20140909
08830193,20140909
08830195,20140909
08830196,20140909
08830197,20140909
08830199,20140909
08836647,20140916
08836649,20140916
08836651,20140916
08836655,20140916
08836659,20140916
08836660,20140916
08836663,20140916
08842077,20140923
08842078,20140923
08842085,20140923
08842088,20140923
08847892,20140930
08847898,20140930
08847902,20140930
08847906,20140930
08854314,20141007
08854315,20141007
08854320,20141007
08854324,20141007
08860673,20141014
08866752,20141021
08866759,20141021
08866762,20141021
08866765,20141021
08866767,20141021
08866768,20141021
08866769,20141021
08866770,20141021
08866775,20141021
08866778,20141021
08872777,20141028
08872780,20141028
08872781,20141028
08749493,20140610
08749494,20140610
08749498,20140610
08749499,20140610
08749504,20140610
08749506,20140610
08754855,20140617
08754857,20140617
08754862,20140617
08754866,20140617
08754868,20140617
08760412,20140624
08760415,20140624
08760416,20140624
08760423,20140624
08766927,20140701
08766936,20140701
08766938,20140701
08766943,20140701
08773362,20140708
08773369,20140708
08773372,20140708
08773376,20140708
08773377,20140708
08773379,20140708
08773383,20140708
08773386,20140708
08773389,20140708
08780052,20140715
08780054,20140715
08780069,20140715
08786556,20140722
08786561,20140722
08791907,20140729
08791910,20140729
08791912,20140729
08797280,20140805
08797284,20140805
08797285,20140805
08797288,20140805
08803814,20140812
08803816,20140812
08803820,20140812
08803822,20140812
08803823,20140812
08803824,20140812
08803825,20140812
08803828,20140812
08810533,20140819
08810536,20140819
08810538,20140819
08810539,20140819
08816972,20140826
08816974,20140826
08816978,20140826
08816980,20140826
08816981,20140826
08816984,20140826
08816985,20140826
08643611,20140204
08643613,20140204
08643616,20140204
08648818,20140211
08654083,20140218
08654087,20140218
08654088,20140218
08659572,20140225
08665223,20140304
08665236,20140304
08665240,20140304
08669944,20140311
08669949,20140311
08674943,20140318
08674948,20140318
08674949,20140318
08674952,20140318
08674954,20140318
08674955,20140318
08674957,20140318
08681108,20140325
08681113,20140325
08686950,20140401
08686954,20140401
08686957,20140401
08692776,20140408
08692779,20140408
08692781,20140408
08692783,20140408
08698759,20140415
08698760,20140415
08698764,20140415
08698768,20140415
08704774,20140422
08704775,20140422
08704783,20140422
08704784,20140422
08704787,20140422
08704788,20140422
08711105,20140429
08711107,20140429
08711112,20140429
08711116,20140429
08717304,20140506
08717306,20140506
08717308,20140506
08717314,20140506
08717316,20140506
08723808,20140513
